Campo,Objeto,Filtro
j02-20170411T024822-01_prepro.fz,Feige34,J0430
j02-20170411T024915-01_prepro.fz,Feige34,J0861
j02-20170411T025015-01_prepro.fz,Feige34,J0515
j02-20170411T025100-01_prepro.fz,Feige34,J0410
j02-20170411T025155-01_prepro.fz,Feige34,rSDSS
j02-20170411T025242-01_prepro.fz,Feige34,J0378
j02-20170411T025348-01_prepro.fz,Feige34,J0660
j02-20170411T025500-01_prepro.fz,Feige34,gSDSS
j02-20170411T025544-01_prepro.fz,Feige34,J0395
j02-20170411T025653-01_prepro.fz,Feige34,zSDSS
j02-20170411T031807-01_prepro.fz,G180-24,iSDSS
j02-20170411T031854-01_prepro.fz,G180-24,uJAVA
j02-20170411T032003-01_prepro.fz,G180-24,J0430
j02-20170411T032059-01_prepro.fz,G180-24,J0861
j02-20170411T032142-01_prepro.fz,G180-24,J0515
j02-20170411T032223-01_prepro.fz,G180-24,J0410
j02-20170411T032320-01_prepro.fz,G180-24,rSDSS
j02-20170411T032406-01_prepro.fz,G180-24,J0378
j02-20170411T032543-01_prepro.fz,G180-24,J0660
j02-20170411T032631-01_prepro.fz,G180-24,gSDSS
j02-20170411T032716-01_prepro.fz,G180-24,J0395
j02-20170411T032835-01_prepro.fz,G180-24,zSDSS
