Campo,Objeto,Filtro
j02-20170409T025839-01_prepro.fz,USSsG180s24,J0861
j02-20170409T025907-01_prepro.fz,USSsG180s24,J0861
j02-20170409T025936-01_prepro.fz,USSsG180s24,J0861
j02-20170409T030020-01_prepro.fz,USSsG180s24,zSDSS
j02-20170409T030050-01_prepro.fz,USSsG180s24,zSDSS
j02-20170409T030122-01_prepro.fz,USSsG180s24,zSDSS
j02-20170409T030241-01_prepro.fz,Feige66,J0378
j02-20170409T030319-01_prepro.fz,Feige66,J0395
j02-20170409T030358-01_prepro.fz,Feige66,J0410
j02-20170409T030445-01_prepro.fz,Feige66,J0430
j02-20170409T030528-01_prepro.fz,Feige66,J0515
j02-20170409T030607-01_prepro.fz,Feige66,J0660
j02-20170409T030652-01_prepro.fz,Feige66,J0861
j02-20170409T030740-01_prepro.fz,Feige34,iSDSS
j02-20170409T030827-01_prepro.fz,Feige34,uJAVA
j02-20170409T030911-01_prepro.fz,Feige34,J0430
j02-20170409T031003-01_prepro.fz,Feige34,J0861
j02-20170409T031103-01_prepro.fz,Feige34,J0515
j02-20170409T031147-01_prepro.fz,Feige34,J0410
j02-20170409T031241-01_prepro.fz,Feige34,rSDSS
j02-20170409T031328-01_prepro.fz,Feige34,J0378
j02-20170409T031434-01_prepro.fz,Feige34,J0660
j02-20170409T031545-01_prepro.fz,Feige34,gSDSS
j02-20170409T031630-01_prepro.fz,Feige34,J0395
j02-20170409T031738-01_prepro.fz,Feige34,zSDSS
j02-20170409T032452-01_prepro.fz,USSsJ2570,rSDSS
j02-20170409T032545-01_prepro.fz,USSsJ2570,uJAVA
j02-20170409T032614-01_prepro.fz,USSsJ2570,uJAVA
j02-20170409T032644-01_prepro.fz,USSsJ2570,uJAVA
j02-20170409T032727-01_prepro.fz,USSsJ2570,J0378
j02-20170409T032758-01_prepro.fz,USSsJ2570,J0378
j02-20170409T032827-01_prepro.fz,USSsJ2570,J0378
j02-20170409T032910-01_prepro.fz,USSsJ2570,J0395
j02-20170409T032938-01_prepro.fz,USSsJ2570,J0395
j02-20170409T033009-01_prepro.fz,USSsJ2570,J0395
j02-20170409T033052-01_prepro.fz,USSsJ2570,J0410
j02-20170409T033120-01_prepro.fz,USSsJ2570,J0410
j02-20170409T033149-01_prepro.fz,USSsJ2570,J0410
j02-20170409T033242-01_prepro.fz,USSsJ2570,J0430
j02-20170409T033310-01_prepro.fz,USSsJ2570,J0430
j02-20170409T033339-01_prepro.fz,USSsJ2570,J0430
j02-20170409T033423-01_prepro.fz,USSsJ2570,gSDSS
j02-20170409T033451-01_prepro.fz,USSsJ2570,gSDSS
j02-20170409T033520-01_prepro.fz,USSsJ2570,gSDSS
j02-20170409T033609-01_prepro.fz,USSsJ2570,J0515
j02-20170409T033638-01_prepro.fz,USSsJ2570,J0515
j02-20170409T033708-01_prepro.fz,USSsJ2570,J0515
j02-20170409T033803-01_prepro.fz,USSsJ2570,rSDSS
j02-20170409T033831-01_prepro.fz,USSsJ2570,rSDSS
j02-20170409T033900-01_prepro.fz,USSsJ2570,rSDSS
j02-20170409T033954-01_prepro.fz,USSsJ2570,J0660
j02-20170409T034023-01_prepro.fz,USSsJ2570,J0660
j02-20170409T034052-01_prepro.fz,USSsJ2570,J0660
j02-20170409T034147-01_prepro.fz,USSsJ2570,iSDSS
j02-20170409T034216-01_prepro.fz,USSsJ2570,iSDSS
j02-20170409T034247-01_prepro.fz,USSsJ2570,iSDSS
j02-20170409T034331-01_prepro.fz,USSsJ2570,J0861
j02-20170409T034402-01_prepro.fz,USSsJ2570,J0861
j02-20170409T034431-01_prepro.fz,USSsJ2570,J0861
j02-20170409T034515-01_prepro.fz,USSsJ2570,zSDSS
j02-20170409T034544-01_prepro.fz,USSsJ2570,zSDSS
j02-20170409T034614-01_prepro.fz,USSsJ2570,zSDSS
j02-20170409T041138-01_prepro.fz,G180-24,iSDSS
j02-20170409T041224-01_prepro.fz,G180-24,uJAVA
j02-20170409T041332-01_prepro.fz,G180-24,J0430
j02-20170409T041428-01_prepro.fz,G180-24,J0861
j02-20170409T041511-01_prepro.fz,G180-24,J0515
j02-20170409T041551-01_prepro.fz,G180-24,J0410
j02-20170409T041648-01_prepro.fz,G180-24,rSDSS
j02-20170409T041732-01_prepro.fz,G180-24,J0378
j02-20170409T041909-01_prepro.fz,G180-24,J0660
j02-20170409T041956-01_prepro.fz,G180-24,gSDSS
j02-20170409T042040-01_prepro.fz,G180-24,J0395
j02-20170409T042158-01_prepro.fz,G180-24,zSDSS
j02-20170409T194224-01_prepro.fz,Feige66,rSDSS
j02-20170409T194317-01_prepro.fz,Feige66,J0378
j02-20170409T194356-01_prepro.fz,Feige66,J0395
j02-20170409T194434-01_prepro.fz,Feige66,J0410
j02-20170409T194522-01_prepro.fz,Feige66,J0430
j02-20170409T194605-01_prepro.fz,Feige66,J0515
j02-20170409T194644-01_prepro.fz,Feige66,J0660
j02-20170409T194729-01_prepro.fz,Feige66,J0861
j02-20170409T194810-01_prepro.fz,Feige34,iSDSS
j02-20170409T194857-01_prepro.fz,Feige34,uJAVA
j02-20170409T194939-01_prepro.fz,Feige34,J0430
j02-20170409T195032-01_prepro.fz,Feige34,J0861
j02-20170409T195131-01_prepro.fz,Feige34,J0515
j02-20170409T195215-01_prepro.fz,Feige34,J0410
j02-20170409T195310-01_prepro.fz,Feige34,rSDSS
j02-20170409T195355-01_prepro.fz,Feige34,J0378
j02-20170409T195501-01_prepro.fz,Feige34,J0660
j02-20170409T195613-01_prepro.fz,Feige34,gSDSS
j02-20170409T195658-01_prepro.fz,Feige34,J0395
j02-20170409T195806-01_prepro.fz,Feige34,zSDSS
j02-20170409T201454-01_prepro.fz,HD080607,rSDSS
j02-20170409T201548-01_prepro.fz,HD080607,uJAVA
j02-20170409T201616-01_prepro.fz,HD080607,uJAVA
j02-20170409T201646-01_prepro.fz,HD080607,uJAVA
j02-20170409T201729-01_prepro.fz,HD080607,J0378
j02-20170409T201759-01_prepro.fz,HD080607,J0378
j02-20170409T201829-01_prepro.fz,HD080607,J0378
j02-20170409T201912-01_prepro.fz,HD080607,J0395
j02-20170409T201942-01_prepro.fz,HD080607,J0395
j02-20170409T202011-01_prepro.fz,HD080607,J0395
j02-20170409T202054-01_prepro.fz,HD080607,J0410
j02-20170409T202124-01_prepro.fz,HD080607,J0410
j02-20170409T202154-01_prepro.fz,HD080607,J0410
j02-20170409T202246-01_prepro.fz,HD080607,J0430
j02-20170409T202315-01_prepro.fz,HD080607,J0430
j02-20170409T202345-01_prepro.fz,HD080607,J0430
j02-20170409T202428-01_prepro.fz,HD080607,gSDSS
j02-20170409T202456-01_prepro.fz,HD080607,gSDSS
j02-20170409T202526-01_prepro.fz,HD080607,gSDSS
j02-20170409T202615-01_prepro.fz,HD080607,J0515
j02-20170409T202646-01_prepro.fz,HD080607,J0515
j02-20170409T202716-01_prepro.fz,HD080607,J0515
j02-20170409T202810-01_prepro.fz,HD080607,rSDSS
j02-20170409T202840-01_prepro.fz,HD080607,rSDSS
j02-20170409T202910-01_prepro.fz,HD080607,rSDSS
j02-20170409T203005-01_prepro.fz,HD080607,J0660
j02-20170409T203035-01_prepro.fz,HD080607,J0660
j02-20170409T203104-01_prepro.fz,HD080607,J0660
j02-20170409T203159-01_prepro.fz,HD080607,iSDSS
j02-20170409T203229-01_prepro.fz,HD080607,iSDSS
j02-20170409T203301-01_prepro.fz,HD080607,iSDSS
j02-20170409T203345-01_prepro.fz,HD080607,J0861
j02-20170409T203415-01_prepro.fz,HD080607,J0861
j02-20170409T203445-01_prepro.fz,HD080607,J0861
j02-20170409T203529-01_prepro.fz,HD080607,zSDSS
j02-20170409T203558-01_prepro.fz,HD080607,zSDSS
j02-20170409T203627-01_prepro.fz,HD080607,zSDSS
j02-20170409T204424-01_prepro.fz,Feige66,J0378
j02-20170409T204503-01_prepro.fz,Feige66,J0395
j02-20170409T204541-01_prepro.fz,Feige66,J0410
j02-20170409T204629-01_prepro.fz,Feige66,J0430
j02-20170409T204711-01_prepro.fz,Feige66,J0515
j02-20170409T204750-01_prepro.fz,Feige66,J0660
j02-20170409T204836-01_prepro.fz,Feige66,J0861
j02-20170409T205700-01_prepro.fz,Feige34,iSDSS
j02-20170409T205747-01_prepro.fz,Feige34,uJAVA
j02-20170409T205829-01_prepro.fz,Feige34,J0430
j02-20170409T205922-01_prepro.fz,Feige34,J0861
j02-20170409T210022-01_prepro.fz,Feige34,J0515
j02-20170409T210105-01_prepro.fz,Feige34,J0410
j02-20170409T210200-01_prepro.fz,Feige34,rSDSS
j02-20170409T210247-01_prepro.fz,Feige34,J0378
j02-20170409T210353-01_prepro.fz,Feige34,J0660
j02-20170409T210504-01_prepro.fz,Feige34,gSDSS
j02-20170409T210549-01_prepro.fz,Feige34,J0395
j02-20170409T210657-01_prepro.fz,Feige34,zSDSS
j02-20170409T212603-01_prepro.fz,HD095735,rSDSS
j02-20170409T212656-01_prepro.fz,HD095735,uJAVA
j02-20170409T212727-01_prepro.fz,HD095735,uJAVA
j02-20170409T212759-01_prepro.fz,HD095735,uJAVA
j02-20170409T212842-01_prepro.fz,HD095735,J0378
j02-20170409T212914-01_prepro.fz,HD095735,J0378
j02-20170409T212944-01_prepro.fz,HD095735,J0378
j02-20170409T213029-01_prepro.fz,HD095735,J0395
